WKT,name,description
"POLYGON ((-0.4123231 39.4495806, -0.4150792 39.452274, -0.4162713 39.4542199, -0.4185124 39.4569131, -0.4234906 39.4569131, -0.4257222 39.4553226, -0.4257127 39.4522316, -0.4231472 39.4449835, -0.4188557 39.4395482, -0.4149075 39.4343776, -0.4066677 39.4313281, -0.4030629 39.4228419, -0.3991146 39.4207202, -0.3929348 39.4178028, -0.3822918 39.4147526, -0.3769703 39.4154157, -0.3738804 39.4216485, -0.3721638 39.4286763, -0.3740521 39.4327866, -0.3817768 39.434245, -0.3946514 39.4363663, -0.4047795 39.4418019, -0.4123231 39.4495806))",Flooded area-1,
"POLYGON ((-0.4277482 39.4574451, -0.4207101 39.4577102, -0.4186502 39.4596983, -0.4205385 39.4623489, -0.4231134 39.4663247, -0.4279443 39.4737013, -0.4325548 39.4783832, -0.4375329 39.4807681, -0.4435411 39.4840804, -0.4493776 39.4869951, -0.4534974 39.4912344, -0.4589906 39.4913669, -0.4617372 39.4881874, -0.4627672 39.4830205, -0.4612222 39.4797081, -0.4555574 39.4771907, -0.4526391 39.4737455, -0.4480043 39.4697702, -0.4449144 39.4672523, -0.4419961 39.462879, -0.4356447 39.4587705, -0.4277482 39.4574451))",Flooded area-2,
"POLYGON ((-0.3705847 39.430048, -0.372473 39.4231529, -0.3765929 39.4130742, -0.3822577 39.404851, -0.3874075 39.3971575, -0.3896391 39.3885345, -0.3872359 39.377522, -0.3788245 39.3589428, -0.3606284 39.3507132, -0.329386 39.353899, -0.3173697 39.3671713, -0.3252661 39.3882692, -0.3286994 39.4011371, -0.3326476 39.414533, -0.3347075 39.4230203, -0.3446639 39.4263353, -0.3542769 39.429385, -0.3635466 39.4309761, -0.3705847 39.430048))",Flooded area-3,
