WKT,name,description
"POLYGON ((-0.4212495 39.4479899, -0.4267426 39.4457364, -0.4269143 39.4400361, -0.425026 39.4334071, -0.4195329 39.4251864, -0.4087182 39.4213408, -0.3991051 39.4231974, -0.3963586 39.4245234, -0.3978177 39.4256008, -0.3953285 39.4272085, -0.3961869 39.4304239, -0.3942986 39.4315178, -0.393612 39.4323464, -0.3936978 39.4341363, -0.3932687 39.4367217, -0.4016801 39.4400361, -0.4071732 39.4449411, -0.4123231 39.4495806, -0.4212495 39.4479899))",Potential area of flooding,
"POLYGON ((-0.3845139 39.4351307, -0.3860589 39.43407, -0.3881188 39.4320813, -0.3858872 39.4304902, -0.3826257 39.4292969, -0.3776475 39.4278383, -0.3682061 39.4275731, -0.3608247 39.4274405, -0.3599664 39.4295621, -0.3604813 39.4332745, -0.3668328 39.4332745, -0.3752442 39.43407, -0.382969 39.4352633, -0.3845139 39.4351307))",Potential area of flooding,
"POLYGON ((-0.4233094 39.4673406, -0.4279443 39.4737013, -0.4325791 39.4719787, -0.4375573 39.4668105, -0.4399606 39.4608468, -0.4332658 39.4548826, -0.4257127 39.4522316, -0.4162713 39.4542199, -0.4233094 39.4673406))",Potential area of flooding,
"POLYGON ((-0.428588 39.4740326, -0.4303046 39.4772458, -0.43215 39.4795645, -0.4340812 39.48238, -0.4372998 39.48344, -0.4418917 39.4843011, -0.4460116 39.4844668, -0.4478999 39.4829431, -0.4496594 39.480227, -0.4497453 39.4780739, -0.4480716 39.4758214, -0.4446383 39.4736682, -0.4411193 39.4721112, -0.4369994 39.4716143, -0.4319783 39.4727075, -0.428588 39.4740326))",Potential area of flooding,
"POLYGON ((-0.4451875 39.4852438, -0.4496078 39.4887215, -0.4514531 39.4907086, -0.4544143 39.4923314, -0.4561738 39.495014, -0.4607228 39.4953782, -0.4645423 39.4960075, -0.4663018 39.4984249, -0.4696063 39.4992197, -0.4738549 39.4994184, -0.4745416 39.4972659, -0.4739837 39.4937224, -0.4686193 39.4935568, -0.466731 39.4906755, -0.4671172 39.4876285, -0.4630832 39.4882247, -0.4620532 39.4848794, -0.4583196 39.4831571, -0.4533843 39.4825278, -0.4482774 39.4827927, -0.4451875 39.4852438))",Potential area of flooding,
